cohorte,seguimiento,area,modalidad,virtual,programas,graduados,cotizantes,tasa
2018,2019,Administracion De Empresas Y Derecho,Presencial,0,1364,111787,60730,0.543265
2018,2019,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,168,8046,3148,0.39125
2018,2019,Arte Y Humanidades,Presencial,0,439,14206,6025,0.424117
2018,2019,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,176,8349,4089,0.489759
2018,2019,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,484,31737,14525,0.457668
2018,2019,Educacion,Presencial,0,409,15716,8112,0.516162
2018,2019,"Ingenieria, Industria Y Construccion",Presencial,0,1219,74921,44627,0.595654
2018,2019,Salud Y Bienestar,Presencial,0,341,20714,11619,0.560925
2018,2019,Servicios,Presencial,0,126,15931,5821,0.365388
2018,2019,Tecnologias De La Informacion Y La Comunicacion (Tic),Presencial,0,253,11900,6713,0.564118
2018,2019,Administracion De Empresas Y Derecho,Virtual,1,127,9244,5616,0.607529
2018,2019,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Virtual,1,8,30,10,0.333333
2018,2019,Arte Y Humanidades,Virtual,1,12,366,135,0.368852
2018,2019,"Ciencias Naturales, Matematicas Y Estadistica",Virtual,1,4,375,205,0.546667
2018,2019,"Ciencias Sociales, Periodismo E Informacion",Virtual,1,17,1286,721,0.560653
2018,2019,Educacion,Virtual,1,13,2593,1632,0.629387
2018,2019,"Ingenieria, Industria Y Construccion",Virtual,1,28,1625,972,0.598154
2018,2019,Servicios,Virtual,1,8,102,53,0.519608
2018,2019,Tecnologias De La Informacion Y La Comunicacion (Tic),Virtual,1,16,734,356,0.485014
2019,2020,Administracion De Empresas Y Derecho,Presencial,0,1398,118022,65278,0.5531
2019,2020,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,177,8512,3177,0.373238
2019,2020,Arte Y Humanidades,Presencial,0,449,14994,6293,0.419701
2019,2020,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,179,8259,3746,0.453566
2019,2020,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,503,33091,13987,0.422683
2019,2020,Educacion,Presencial,0,421,15922,7235,0.454403
2019,2020,"Ingenieria, Industria Y Construccion",Presencial,0,1232,79733,46014,0.577101
