cohorte,seguimiento,codigo_programa,codigo_ies,area,modalidad,virtual,acreditado,ies_acreditada,graduados,cotizantes,tasa
2018,2019,1,1101,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,,,80,42,0.525
2018,2019,2,1101,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,,,57,23,0.403509
2018,2019,3,1101,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,,,33,14,0.424242
2018,2019,4,1101,Arte Y Humanidades,Presencial,0,,,49,16,0.326531
2018,2019,5,1101,Arte Y Humanidades,Presencial,0,,,61,17,0.278689
2018,2019,6,1101,Arte Y Humanidades,Presencial,0,,,44,9,0.204545
2018,2019,7,1101,Salud Y Bienestar,Presencial,0,,,92,57,0.619565
2018,2019,8,1101,Salud Y Bienestar,Presencial,0,,,32,15,0.46875
2018,2019,9,1101,Salud Y Bienestar,Presencial,0,,,183,86,0.469945
2018,2019,10,1101,Salud Y Bienestar,Presencial,0,,,57,27,0.473684
2018,2019,11,1101,Salud Y Bienestar,Presencial,0,,,91,21,0.230769
2018,2019,12,1101,Salud Y Bienestar,Presencial,0,,,27,7,0.259259
2018,2019,13,1101,Arte Y Humanidades,Presencial,0,,,70,25,0.357143
2018,2019,14,1101,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,,,114,41,0.359649
2018,2019,15,1101,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,,,54,13,0.240741
2018,2019,16,1101,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,,,69,12,0.173913
2018,2019,17,1101,Administracion De Empresas Y Derecho,Presencial,0,,,163,44,0.269939
2018,2019,18,1101,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,,,151,90,0.596026
2018,2019,19,1101,Administracion De Empresas Y Derecho,Presencial,0,,,122,79,0.647541
2018,2019,20,1101,Arte Y Humanidades,Presencial,0,,,60,20,0.333333
2018,2019,21,1101,Arte Y Humanidades,Presencial,0,,,29,13,0.448276
2018,2019,22,1101,Arte Y Humanidades,Presencial,0,,,39,17,0.435897
2018,2019,23,1101,Arte Y Humanidades,Presencial,0,,,97,50,0.515464
2018,2019,24,1101,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,,,34,18,0.529412
2018,2019,25,1101,"Ingenieria, Industria Y Construccion",Presencial,0,,,157,84,0.535032
2018,2019,26,1101,Tecnologias De La Informacion Y La Comunicacion (Tic),Presencial,0,,,98,62,0.632653
2018,2019,27,1101,"Ingenieria, Industria Y Construccion",Presencial,0,,,77,46,0.597403
2018,2019,28,1101,"Ingenieria, Industria Y Construccion",Presencial,0,,,88,61,0.693182
2018,2019,29,1101,"Ingenieria, Industria Y Construccion",Presencial,0,,,141,97,0.687943
2018,2019,30,1101,"Ingenieria, Industria Y Construccion",Presencial,0,,,67,26,0.38806
2018,2019,31,1101,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,103,43,0.417476
2018,2019,32,1101,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,44,34,0.772727
2018,2019,33,1101,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,44,16,0.363636
2018,2019,34,1101,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,69,16,0.231884
2018,2019,35,1101,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,39,12,0.307692
2018,2019,36,1101,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,54,28,0.518519
2018,2019,37,1101,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,96,62,0.645833
2018,2019,2497,1101,Arte Y Humanidades,Presencial,0,,,58,16,0.275862
2018,2019,3100,1101,Arte Y Humanidades,Presencial,0,,,7,1,0.142857
2018,2019,3101,1101,Arte Y Humanidades,Presencial,0,,,35,6,0.171429
2018,2019,3102,1101,Salud Y Bienestar,Presencial,0,,,16,6,0.375
2018,2019,3103,1101,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,,,43,13,0.302326
2018,2019,3140,1101,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,,,112,23,0.205357
2018,2019,16895,1101,Administracion De Empresas Y Derecho,Presencial,0,,,78,61,0.782051
2018,2019,16938,1101,Arte Y Humanidades,Presencial,0,,,35,11,0.314286
2018,2019,16939,1101,"Ingenieria, Industria Y Construccion",Presencial,0,,,53,30,0.566038
2018,2019,16940,1101,"Ingenieria, Industria Y Construccion",Presencial,0,,,67,39,0.58209
2018,2019,16941,1101,"Ingenieria, Industria Y Construccion",Presencial,0,,,66,42,0.636364
2018,2019,54036,1101,Arte Y Humanidades,Presencial,0,,,28,10,0.357143
2018,2019,113,1102,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,,,28,18,0.642857
2018,2019,114,1102,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,,,27,19,0.703704
2018,2019,115,1102,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,,,18,7,0.388889
2018,2019,116,1102,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,,,21,12,0.571429
2018,2019,117,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,132,74,0.560606
2018,2019,118,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,56,30,0.535714
2018,2019,119,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,67,32,0.477612
2018,2019,120,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,40,31,0.775
2018,2019,121,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,78,61,0.782051
2018,2019,122,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,76,48,0.631579
2018,2019,123,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,59,31,0.525424
2018,2019,124,1102,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,,,47,24,0.510638
2018,2019,125,1102,Administracion De Empresas Y Derecho,Presencial,0,,,109,80,0.733945
2018,2019,126,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,49,29,0.591837
2018,2019,127,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,92,41,0.445652
2018,2019,128,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,43,26,0.604651
2018,2019,129,1102,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,15,5,0.333333
2018,2019,16919,1102,Arte Y Humanidades,Presencial,0,,,29,5,0.172414
2018,2019,16920,1102,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,22,18,0.818182
2018,2019,16921,1102,"Ciencias Naturales, Matematicas Y Estadistica",Presencial,0,,,48,22,0.458333
2018,2019,16922,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,34,28,0.823529
2018,2019,16923,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,37,22,0.594595
2018,2019,16924,1102,"Ciencias Sociales, Periodismo E Informacion",Presencial,0,,,42,15,0.357143
2018,2019,16925,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,42,37,0.880952
2018,2019,16926,1102,"Agropecuario, Silvicultura, Pesca Y Veterinaria",Presencial,0,,,34,18,0.529412
2018,2019,55189,1102,"Ingenieria, Industria Y Construccion",Presencial,0,,,34,15,0.441176
2018,2019,4120,1103,Administracion De Empresas Y Derecho,Presencial,0,,,81,41,0.506173
2018,2019,4121,1103,"Ingenieria, Industria Y Construccion",Presencial,0,,,89,30,0.337079
2018,2019,4122,1103,"Ingenieria, Industria Y Construccion",Presencial,0,,,86,57,0.662791
2018,2019,4123,1103,"Ingenieria, Industria Y Construccion",Presencial,0,,,60,35,0.583333
2018,2019,4124,1103,"Ingenieria, Industria Y Construccion",Presencial,0,,,70,32,0.457143
2018,2019,4125,1103,"Ingenieria, Industria Y Construccion",Presencial,0,,,53,28,0.528302
2018,2019,4126,1103,"Ingenieria, Industria Y Construccion",Presencial,0,,,60,32,0.533333
2018,2019,16911,1103,Administracion De Empresas Y Derecho,Presencial,0,,,60,34,0.566667
2018,2019,16912,1103,Administracion De Empresas Y Derecho,Presencial,0,,,38,29,0.763158
