area,cohortes_con_dato,brecha_promedio_pp,brecha_ultima_pp,clasificacion,programas_virtuales,virtuales_acreditados,cobertura_acreditacion
Administracion De Empresas Y Derecho,5,8.6,8.7,Verde,185,10,5.4
"Agropecuario, Silvicultura, Pesca Y Veterinaria",0,,,Sin datos suficientes,6,0,0.0
Arte Y Humanidades,5,0.1,-2.0,Amarillo,20,1,5.0
"Ciencias Naturales, Matematicas Y Estadistica",5,1.9,-7.7,Amarillo,3,0,0.0
"Ciencias Sociales, Periodismo E Informacion",5,5.3,-5.5,Verde,25,2,8.0
Educacion,5,11.7,9.2,Verde,18,0,0.0
"Ingenieria, Industria Y Construccion",5,5.4,5.2,Verde,38,2,5.3
Salud Y Bienestar,2,4.2,4.6,Sin datos suficientes,1,0,0.0
Servicios,5,25.2,39.6,Verde,13,0,0.0
Tecnologias De La Informacion Y La Comunicacion (Tic),5,-5.8,-4.7,Rojo,27,0,0.0
